DATAFLOW,LAST UPDATE,freq,accomunit,terrtypo,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2014,20329,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2015,20315,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2016,20619,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2017,20885,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2018,21494,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2019,21951,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2020,22399,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2021,22695,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT,2022,23984,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2014,2465,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2015,2499,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2016,2928,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2017,3073,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2018,3588,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2019,3929,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2020,4126,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2021,4049,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT1,2022,4835,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2014,438,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2015,436,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2016,427,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2017,427,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2018,418,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2019,412,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2020,410,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2021,412,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT11,2022,428,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2014,1476,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2015,1459,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2016,1429,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2017,1434,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2018,1435,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2019,1447,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2020,1450,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2021,1478,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT12,2022,1505,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2014,551,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2015,604,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2016,1072,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2017,1212,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2018,1735,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2019,2070,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2020,2266,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2021,2159,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT13,2022,2902,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2014,5233,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2015,5197,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2016,5166,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2017,5188,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2018,5201,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2019,5237,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2020,5295,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2021,5354,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT2,2022,5475,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2014,2835,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2015,2765,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2016,2695,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2017,2717,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2018,2720,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2019,2716,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2020,2721,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2021,2736,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT21,2022,2791,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2014,2398,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2015,2432,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2016,2471,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2017,2471,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2018,2481,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2019,2521,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2020,2574,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2021,2618,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT22,2022,2684,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2014,12631,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2015,12619,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2016,12525,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2017,12624,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2018,12705,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2019,12785,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2020,12978,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2021,13292,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT3,2022,13674,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2014,1495,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2015,1521,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2016,1507,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2017,1500,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2018,1513,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2019,1504,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2020,1565,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2021,1625,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT31,2022,1620,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2014,3374,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2015,3400,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2016,3406,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2017,3419,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2018,3452,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2019,3485,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2020,3577,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2021,3687,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT32,2022,3758,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2014,6442,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2015,6387,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2016,6293,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2017,6358,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2018,6335,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2019,6373,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2020,6438,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2021,6542,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT33,2022,6780,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2014,1320,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2015,1311,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2016,1319,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2017,1347,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2018,1405,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2019,1423,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2020,1398,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2021,1438,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,AT34,2022,1516,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2014,5139,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2015,7990,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2016,8210,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2017,8570,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2018,9211,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2019,9651,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2020,9853,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2021,9516,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE,2022,10269,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2014,292,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2015,274,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2016,282,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2017,306,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2018,362,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2019,403,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2020,397,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2021,382,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE1,2022,393,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2014,292,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2015,274,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2016,282,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2017,306,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2018,362,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2019,403,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2020,397,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2021,382,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE10,2022,393,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2014,3280,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2015,4415,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2016,4698,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2017,5073,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2018,5628,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2019,5860,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2020,6144,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2021,6067,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE2,2022,6514,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2014,579,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2015,704,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2016,773,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2017,889,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2018,1022,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2019,1091,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2020,1168,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2021,1098,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE21,2022,1175,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2014,517,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2015,698,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2016,734,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2017,761,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2018,831,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2019,885,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2020,958,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2021,996,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE22,2022,1091,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2014,572,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2015,766,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2016,840,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2017,948,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2018,1073,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2019,1157,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2020,1244,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2021,1199,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE23,2022,1284,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2014,334,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2015,387,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2016,412,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2017,461,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2018,528,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2019,550,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2020,562,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2021,543,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE24,2022,572,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE25,2014,1278,
ESTAT:TOUR_CAP_NUTS2DC(1.0),12/01/24 23:00:00,A,ESTBL,TOTAL,I551-I553,NR,BE25,2015,1860,
